Date Namelookup Redirect Connect_Total Start_Transfer Total_Time Response_Code
1333575012 0.024 0.000 0.027 0.076 0.107 200
1333575017 0.001 0.000 0.006 0.072 0.089 200
1333575023 0.001 0.000 0.005 0.053 0.083 200
1333576872 0.052 0.000 0.055 0.107 0.137 200
1333576877 0.001 0.000 0.007 0.061 0.091 200
1333576887 0.001 0.000 0.004 0.052 0.082 200
1333576892 0.001 0.000 0.004 0.037 0.052 200
1333576898 0.001 0.000 0.004 0.053 0.084 200
1333576903 0.001 0.000 0.004 0.037 0.053 200
1333576908 0.001 0.000 0.004 0.052 0.083 200
1333576913 0.001 0.000 0.006 0.053 0.083 200
1333576918 0.001 0.000 0.004 0.038 0.053 200
1333576923 0.002 0.000 0.006 0.044 0.073 200
1333576929 0.001 0.000 0.005 0.053 0.083 200
1333576934 0.001 0.000 0.004 0.052 0.083 200
1333576939 0.001 0.000 0.005 0.052 0.083 200
1333576944 0.001 0.000 0.004 0.037 0.053 200
1333576949 0.001 0.000 0.004 0.054 0.084 200
1333576955 0.001 0.000 0.005 0.053 0.083 200
1333576960 0.001 0.000 0.005 0.052 0.083 200
1333576965 0.001 0.000 0.005 0.053 0.083 200
1333576970 0.001 0.000 0.004 0.053 0.085 200
1333576975 0.005 0.000 0.008 0.057 0.088 200
1333576981 0.001 0.000 0.004 0.053 0.081 200
1333576986 0.001 0.000 0.004 0.051 0.081 200
1333576991 0.001 0.000 0.004 0.713 0.743 200
1333576997 0.001 0.000 0.005 0.040 0.054 200
1333577002 0.001 0.000 0.005 0.069 0.100 200
1333577007 0.013 0.000 0.016 0.065 0.093 200
1333577013 0.001 0.000 0.004 0.054 0.084 200
1333577018 0.001 0.000 0.004 0.051 0.082 200
1333577023 0.001 0.000 0.004 1.039 1.054 200
1333577029 0.001 0.000 0.004 0.037 0.053 200
1333577034 0.001 0.000 0.005 0.056 0.090 200
1333577040 0.001 0.000 0.005 0.053 0.084 200
1333577045 0.002 0.000 0.006 0.054 0.085 200
1333577050 0.001 0.000 0.005 0.054 0.085 200
1333577055 0.009 0.000 0.013 0.050 0.065 200
1333577060 0.001 0.000 0.005 1.055 1.085 200
1333577067 0.001 0.000 0.005 0.052 0.084 200
1333577072 0.025 0.000 0.029 0.268 0.424 200
1333577078 0.007 0.000 0.014 0.048 0.068 200
1333577083 0.009 0.000 0.013 0.061 0.092 200
1333577088 0.005 0.000 0.008 0.061 0.088 200
1333577093 0.001 0.000 0.005 0.053 0.083 200
1333577098 0.001 0.000 0.005 0.054 0.084 200
1333577104 0.002 0.000 0.005 0.397 0.414 200
1333577109 0.002 0.000 0.005 0.053 0.083 200
1333577114 0.001 0.000 0.005 0.038 0.056 200
1333577120 0.001 0.000 0.005 0.052 0.083 200
1333577125 0.002 0.000 0.005 0.041 0.056 200
1333577130 0.002 0.000 0.006 0.053 0.086 200
1333577135 0.001 0.000 0.006 0.053 0.084 200
1333577140 0.001 0.000 0.005 0.054 0.084 200
1333577145 0.002 0.000 0.006 0.053 0.082 200
1333577151 0.001 0.000 0.005 0.054 0.083 200
1333577156 0.003 0.000 0.007 0.055 0.086 200
1333577161 0.001 0.000 0.005 0.050 0.065 200
1333577166 0.001 0.000 0.005 0.053 0.083 200
1333577171 0.001 0.000 0.004 0.052 0.082 200
1333577177 0.001 0.000 0.008 0.057 0.088 200
1333577182 0.001 0.000 0.005 0.053 0.084 200
1333577187 0.001 0.000 0.005 0.054 0.084 200
1333577192 0.001 0.000 0.005 0.038 0.054 200
1333577197 0.002 0.000 0.005 0.054 0.084 200
1333577203 0.001 0.000 0.004 0.392 0.408 200
1333577208 0.001 0.000 0.005 0.038 0.053 200
1333577213 0.001 0.000 0.005 0.054 0.083 200
1333577219 0.001 0.000 0.005 0.054 0.084 200
1333577224 0.001 0.000 0.005 0.055 0.084 200
1333577229 0.001 0.000 0.005 0.055 0.084 200
1333577234 0.002 0.000 0.005 0.053 0.084 200
1333577239 0.002 0.000 0.005 0.038 0.054 200
1333577245 0.002 0.000 0.006 0.178 0.178 200
1333577250 0.001 0.000 0.006 0.040 0.055 200
1333577255 0.005 0.000 0.009 0.057 0.086 200
1333577260 0.002 0.000 0.005 0.053 0.083 200
1333577266 0.002 0.000 0.006 0.040 0.057 200
1333577271 0.002 0.000 0.006 0.040 0.059 200
1333577276 0.002 0.000 0.006 0.039 0.055 200
1333577281 0.001 0.000 0.005 0.053 0.085 200
1333577286 0.002 0.000 0.005 0.038 0.053 200
1333577291 0.002 0.000 0.006 0.060 0.088 200
1333577297 0.002 0.000 0.005 0.039 0.058 200
1333577302 0.001 0.000 0.005 0.038 0.054 200
1333577307 0.002 0.000 0.005 0.053 0.083 200
1333577312 0.001 0.000 0.005 0.057 0.088 200
1333577317 0.001 0.000 0.005 0.052 0.082 200
1333577323 0.004 0.000 0.007 0.055 0.085 200
1333577328 0.001 0.000 0.004 0.071 0.082 200
1333577333 0.001 0.000 0.004 0.054 0.084 200
1333577338 0.002 0.000 0.006 0.054 0.084 200
1333577343 0.001 0.000 0.006 0.054 0.084 200
1333577349 0.001 0.000 0.005 0.038 0.054 200
1333577354 0.001 0.000 0.005 0.055 0.085 200
1333577359 0.001 0.000 0.005 0.038 0.053 200
1333577364 0.002 0.000 0.005 0.054 0.084 200
1333577369 0.002 0.000 0.011 0.058 0.088 200
1333577375 0.002 0.000 0.005 0.057 0.087 200
1333577380 0.002 0.000 0.005 0.052 0.082 200
1333577385 0.001 0.000 0.005 0.053 0.083 200
1333577390 0.001 0.000 0.005 0.053 0.083 200
1333577395 0.001 0.000 0.006 0.053 0.086 200
1333577401 0.001 0.000 0.004 0.053 0.083 200
1333577406 0.002 0.000 0.006 0.038 0.057 200
1333577411 0.002 0.000 0.006 0.054 0.089 200
1333577416 0.002 0.000 0.007 0.058 0.086 200
1333577421 0.002 0.000 0.007 0.056 0.085 200
1333577427 0.001 0.000 0.005 0.055 0.086 200
1333577432 0.001 0.000 0.006 0.055 0.085 200
1333577437 0.002 0.000 0.009 0.057 0.087 200
1333577442 0.001 0.000 0.005 0.052 0.084 200
1333577447 0.001 0.000 0.007 0.040 0.057 200
1333577453 0.001 0.000 0.006 0.057 0.084 200
1333577458 0.001 0.000 0.006 0.054 0.083 200
1333577463 0.001 0.000 0.005 0.054 0.090 200
1333577468 0.002 0.000 0.005 0.054 0.083 200
1333577473 0.001 0.000 0.004 0.057 0.083 200
1333577479 0.001 0.000 0.005 0.054 0.085 200
1333577484 0.001 0.000 0.005 0.052 0.083 200
1333577489 0.001 0.000 0.004 0.037 0.053 200
1333577494 0.002 0.000 0.005 0.054 0.083 200
1333577499 0.002 0.000 0.009 0.057 0.088 200
1333577505 0.001 0.000 0.005 0.040 0.055 200
1333577510 0.001 0.000 0.005 0.038 0.053 200
