Date Namelookup Redirect Connect_Total Start_Transfer Total_Time Response_Code
1333575012 0.001 0.000 0.019 0.051 0.089 200
1333575017 0.001 0.000 0.019 0.051 0.090 200
1333575023 0.001 0.000 0.019 0.051 0.090 200
1333576872 0.001 0.000 0.019 0.051 0.089 200
1333576877 0.001 0.000 0.019 0.051 0.089 200
1333576882 0.001 0.000 0.019 0.051 0.089 200
1333576887 0.001 0.000 0.019 0.051 0.089 200
1333576892 0.001 0.000 0.019 0.051 0.089 200
1333576898 0.001 0.000 0.020 0.052 0.091 200
1333576903 0.001 0.000 0.019 0.055 0.094 200
1333576908 0.001 0.000 0.020 0.052 0.090 200
1333576913 0.001 0.000 0.019 0.051 0.089 200
1333576918 0.001 0.000 0.021 0.053 0.092 200
1333576924 0.001 0.000 0.020 0.054 0.097 200
1333576929 0.001 0.000 0.019 0.051 0.089 200
1333576934 0.001 0.000 0.019 0.051 0.089 200
1333576939 0.001 0.000 0.019 0.051 0.089 200
1333576944 0.001 0.000 0.019 0.051 0.089 200
1333576950 0.001 0.000 0.021 0.052 0.091 200
1333576955 0.001 0.000 0.021 0.052 0.093 200
1333576960 0.001 0.000 0.019 0.052 0.091 200
1333576965 0.001 0.000 0.019 0.051 0.089 200
1333576970 0.001 0.000 0.019 0.051 0.089 200
1333576976 0.016 0.000 0.035 0.067 0.113 200
1333576981 0.001 0.000 0.020 0.052 0.092 200
1333576986 0.001 0.000 0.019 0.051 0.089 200
1333576992 0.001 0.000 0.019 0.051 0.092 200
1333576997 0.001 0.000 0.019 0.051 0.091 200
1333577002 0.001 0.000 0.019 0.051 0.090 200
1333577007 0.001 0.000 0.021 0.053 0.093 200
1333577013 0.001 0.000 0.020 0.052 0.091 200
1333577018 0.001 0.000 0.019 0.051 0.089 200
1333577024 0.001 0.000 0.019 0.051 0.091 200
1333577029 0.001 0.000 0.019 0.051 0.093 200
1333577034 0.001 0.000 0.020 0.052 0.092 200
1333577040 0.001 0.000 0.019 0.051 0.089 200
1333577045 0.001 0.000 0.020 0.053 0.092 200
1333577050 0.001 0.000 0.022 0.055 0.093 200
1333577055 0.001 0.000 0.020 0.053 0.092 200
1333577061 0.001 0.000 0.024 0.062 0.101 200
1333577067 0.014 0.000 0.032 0.070 0.107 200
1333577072 0.010 0.000 0.048 0.081 0.118 200
